#age = 20-70
#compuse = when did you start using a computer? 1970-2005
#netuse = when did you start using the internet? 1970-2005
#computers = how many computers do you own? 0-5
#website = do you know how to build a website?
uid,age,compuse,netuse,computers,website,mouse,browser
251,20,1995,1970,3,sorta,touchpad,Chrome 7.0.517
252,20,1995,1993,1,sorta,regular,Firefox 3.0.19
253,20,1984,1982,1,sorta,touchpad,Firefox 3.6.8
254,20,2000,1982,1,no,other,Firefox 3.6.12
255,20,1995,1993,1,amateur,regular,Safari 5.0.2
256,20,1995,1970,2,sorta,trackball,Chrome 7.0.517
257,50,1995,1982,2,no,touchpad,IE 8.0
258,20,2000,1993,1,sorta,touchpad,Chrome 7.0.517
259,50,1984,1993,1,no,regular,IE 8.0
260,20,1984,1982,1,no,regular,Firefox 3.6.12
261,20,1995,1993,1,sorta,touchpad,Firefox 3.6.11
262,30,1984,1982,2,amateur,other,Chrome 7.0.517
263,30,1984,1982,1,amateur,regular,Chrome 7.0.517
264,50,1984,1993,1,no,regular,IE 8.0
265,20,1995,2000,1,sorta,regular,IE 8.0
266,20,1984,1993,1,no,touchpad,Firefox 3.6.12
267,20,2000,1982,2,sorta,trackball,Firefox 3.6.12
268,20,1995,1993,1,no,touchpad,Chrome 7.0.517
269,20,1995,1970,2,sorta,touchpad,Firefox 3.6.12
270,20,1995,1993,3,sorta,touchpad,Firefox 3.6.12
271,50,2005,1982,1,no,regular,Chrome 7.0.517
272,20,2000,1993,1,sorta,eraser,Chrome 7.0.517
273,50,2000,2000,1,no,regular,IE 8.0
274,50,1970,1982,3,sorta,regular,IE 8.0
275,30,2000,2000,2,no,regular,Chrome 7.0.517
276,50,1984,1993,2,no,regular,IE 8.0
277,20,1995,1993,2,no,touchpad,Firefox 3.6.12
278,30,1995,1993,3,no,regular,Firefox 3.6.12
279,20,2000,1993,3,sorta,touchpad,Safari 5.0.2
280,50,1970,1982,3,pro,regular,IE 8.0
281,50,1984,1993,3,amateur,regular,IE 8.0
282,30,1970,1993,2,sorta,trackball,IE 8.0
283,20,1984,1993,2,no,touchpad,Firefox 3.6.12
284,20,1984,1982,1,sorta,regular,Firefox 3.6.12
285,20,2000,1982,2,no,other,Chrome 7.0.517
286,50,1995,1982,2,no,regular,Firefox 3.6.12
287,50,2000,1993,2,sorta,regular,Firefox 3.6.12
288,20,1984,1970,4,pro,regular,Firefox 3.6.10
289,30,1984,1993,1,sorta,regular,IE 8.0
290,50,1984,1982,3,sorta,regular,Firefox 3.6.12
291,50,1984,1970,2,sorta,regular,Firefox 3.6.10
292,20,2000,1982,2,sorta,regular,IE 8.0
293,20,1995,1970,1,pro,other,Chrome 7.0.517
294,30,1984,1982,2,sorta,regular,IE 8.0
295,50,1970,1993,3,sorta,touchpad,Firefox 3.6.12
296,30,1995,1993,3,sorta,regular,IE 8.0
297,20,1984,1993,1,no,regular,IE 8.0
298,30,1984,1982,3,no,touchpad,Firefox 3.6.12
299,20,2005,2000,1,sorta,trackball,Firefox 3.6.12
300,20,1995,1982,2,sorta,regular,Firefox 3.5.15
301,30,1995,1993,3,amateur,regular,Chrome 7.0.517
302,30,1984,1982,2,sorta,trackball,Firefox 3.6.12
303,20,2000,1970,1,sorta,regular,Firefox 3.6.12
304,20,1995,1993,5,amateur,touchpad,Firefox 3.6.12
305,20,2000,1982,1,no,regular,Firefox 3.6.12
306,30,1984,1982,1,pro,touchpad,Chrome 7.0.517
