relay,lat,rate,obs,up,down
direct,550.0,300,15,6.996,315.67
direct,550.0,300,16,6.93,313.837
direct,550.0,300,17,6.864,314.52
direct,550.0,300,18,6.864,315.841
direct,550.0,300,19,6.864,314.156
direct,550.0,300,20,6.93,314.156
direct,600.0,50,1,8.858,170.975
direct,600.0,50,2,0.941,0.21
direct,600.0,50,3,0.269,14.373
direct,600.0,50,4,1.188,54.504
direct,600.0,50,5,1.452,52.99
direct,600.0,50,6,1.056,56.078
direct,600.0,50,7,1.782,64.736
direct,600.0,50,8,1.32,53.713
direct,600.0,50,9,1.188,53.068
direct,600.0,50,10,1.254,53.146
direct,600.0,50,11,1.188,53.653
direct,600.0,50,12,1.188,53.068
direct,600.0,50,13,1.188,53.146
direct,600.0,50,14,1.254,53.068
direct,600.0,50,15,1.188,52.139
direct,600.0,50,16,1.188,53.146
direct,600.0,50,17,1.254,53.068
direct,600.0,50,18,1.188,53.146
direct,600.0,50,19,1.188,53.653
direct,600.0,50,20,1.254,53.068
direct,600.0,150,1,1.706,32.965
direct,600.0,150,2,0.563,0.21
direct,600.0,150,3,0.402,14.716
direct,600.0,150,4,0.66,52.99
direct,600.0,150,5,1.518,65.102
direct,600.0,150,6,0.858,37.85
direct,600.0,150,7,1.782,95.686
direct,600.0,150,8,2.838,125.662
direct,600.0,150,9,2.178,130.204
direct,600.0,150,10,6.27,313.398
direct,600.0,150,11,7.656,260.408
direct,600.0,150,12,10.296,412.556
direct,600.0,150,13,6.138,157.657
direct,600.0,150,14,3.564,156.712
direct,600.0,150,15,3.474,158.935
direct,600.0,150,16,3.564,157.421
direct,600.0,150,17,3.432,156.652
direct,600.0,150,18,3.564,158.935
direct,600.0,150,19,3.498,157.362
direct,600.0,150,20,3.498,156.711
direct,600.0,300,1,4.73,95.984
direct,600.0,300,2,0.995,0.21
direct,600.0,300,3,0.534,14.716
direct,600.0,300,4,0.528,52.99
direct,600.0,300,5,1.518,65.102
direct,600.0,300,6,0.99,37.91
direct,600.0,300,7,1.65,95.442
direct,600.0,300,8,2.97,133.292
direct,600.0,300,9,2.112,124.148
direct,600.0,300,10,6.27,320.968
direct,600.0,300,11,7.656,260.408
direct,600.0,300,12,10.494,581.376
direct,600.0,300,13,15.708,639.72
direct,600.0,300,14,25.134,326.091
direct,600.0,300,15,9.834,314.332
direct,600.0,300,16,6.93,315.437
